#chr start end name
chr21 44497892 44711572 TSPEAR
chr21 44675867 44678086 IMMTP1
chr21 44768579 44801820 UBE2G2
chr21 44805616 44818779 SUMO3
chr21 44849584 44873709 PTTG1IP
chr21 44885952 44920960 ITGB2
chr21 44940011 44976989 SLX9
chr21 44999207 45004727 PICSAR
chr21 45070951 45073211 SSR4P1
chr21 45073852 45137326 ADARB1
chr21 45263927 45287898 POFUT2
chr21 45376190 45376382 MTCO1P3
chr21 45405164 45513720 COL18A1
chr21 45478265 45478326 MIR6815
chr21 45493571 45531541 SLC19A1
chr21 45643693 45942454 PCBP3 
